country,round,year,month,group,grouplabel,obs,obs_ipt,obs_icu,obs_vac,obs_spcm,obs_test,obs_pcr,ybed,ybed_icu,ybed_cap_covid,ybed_cap_covid_severe,ybed_cap_covid_critical,ybed_covid_night,ybed_covid_month,ybed_cap_isolation,ybed_cap_respiso_o2,ybed_convert_respiso,ybed_convert_icu,ximst,ximst_fun,xipt,xicu,xocc_lastnight,xocc_lastnight_covid,xocc_lastmonth_covid,xcovid_occ_lastnight,xcovid_occ_lastmonth,xstaffsupport,xnrshift__day,xnrshift__night,xstaff_test_none,xstaff_test_2wk,xstaff_test_symp,xstaff_test_exp,xdrug_score,xdrug_100,xdrug_50,xsupp_score,xsupp_100,xsupp_50,xdrug__001,xdrug__002,xdrug__003,xdrug__004,xdrug__005,xdrug__006,xdrug__007,xdrug__008,xdrug__009,xdrug__010,xsupply__001,xsupply__002,xsupply__003,xsupply__004,xsupply__005,xppe,xppe_allsome__001,xppe_allsome__002,xppe_allsome__003,xppe_allsome__004,xppe_allsome__005,xppe_allsome__006,xppe_allsome_score,xppe_allsome_100,xppe_allsome_50,xppe_all__001,xppe_all__002,xppe_all__003,xppe_all__004,xppe_all__005,xppe_all__006,xppe_all_score,xppe_all_100,xppe_all_50,xipcitem__001,xipcitem__002,xipcitem__003,xipcitem__004,xipcitem__005,xipcitem__006,xipcitem_score,xipcitem_100,xipcitem_50,xspcm,xspcmitem__001,xspcmitem__002,xspcmitem_score,xspcmitem_100,xspcmitem_50,xtest,xtesttransport,xtesttime_1,xtesttime_2,xtesttime_3,xpcr,xpcr_capacity,xpcr_equip,xdiagcovid_score,xdiagcovid_100,xdiagcovid_50,xequip_anyfunction__001,xequip_anyfunction__002,xequip_anyfunction__003,xequip_anyfunction__004,xequip_anyfunction_score,xequip_anyfunction_100,xequip_anyfunction_50,xequip_allfunction__001,xequip_allfunction__002,xequip_allfunction__003,xequip_allfunction__004,xequip_allfunction_score,xequip_allfunction_100,xequip_allfunction_50,xequip_anymalfunction,xequip_malfunction_reason__001,xequip_malfunction_reason__002,xequip_malfunction_reason__003,xequip_malfunction_reason__004,xequip_malfunction_reason__005,xoxygen_concentrator,xoxygen_bulk,xoxygen_cylinder,xoxygen_plant,xoxygensource,xoxygen_dist,xoxygen_dist__er,xoxygen_dist__icu,xoxygen_dist__iso,xoxygen_dist_all,xoxygen_dist_any,xoxygen_portcylinder,xo2__cannula,xo2__mask,xo2__humidifier,xo2__flowmeter,xo2supp_score,xo2supp_100,xo2supp_50,xvac,xvac_av_fridge,xvac_avfun_fridge,xvac_avfun_fridgetemp,xvac_av_coldbox,xvac_avfun_coldbox_all,xvac_avfun_coldbox_all_full,xvac_av_carrier,xvac_avfun_carrier_all,xvac_avfun_carrier_all_full,xvac_av_outreach,xvac_avfun_outreach_all_full,xvac_sharp,ypt_homecare,yequip_ventilator,yequip_noninvventilator,yvac_avfun_coldbox_all,yvac_avfun_coldbox_all_full,yvac_avfun_carrier_all,yvac_avfun_carrier_all_full,updatedate,updatetime
Kenya,1,2020,12,All,All,72,71,38,67,64,61,11,15818,488,3554,2299,398,318,811,3121,2097,2049,266,88,78,99,53,22,3,8,11,32,78,9,11,5,34,61,38,77,24,92,97,85,100,79,97,47,88,51,58,88,76,89,99,100,100,99,89,97,100,97,99,97,94,94,99,97,92,99,46,82,39,38,31,94,55,24,53,96,97,97,61,94,97,91,60,97,89,85,86,85,85,86,85,74,15,31,54,15,0,100,73,51,94,81,96,65,51,73,42,90,64,88,56,44,63,29,81,11,63,13,0,0,13,72,38,93,39,100,63,44,51,46,32,63,90,94,96,90,92,93,29,81,93,99,99,99,90,87,69,96,88,73,100,76,100,99,476,304,387,355,515,450,21Dec2020,14:25:07
Kenya,1,2020,12,County,Baringo,1,1,1,1,1,1,0,136,8,8,8,2,0,1,8,8,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County and Facility level,Baringo-Level4,1,1,1,1,1,1,0,136,8,8,8,2,0,1,8,8,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County,Bomet,1,1,1,1,1,1,0,195,7,21,17,3,0,1,21,21,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County and Facility level,Bomet-Level4,1,1,1,1,1,1,0,195,7,21,17,3,0,1,21,21,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County,Bungoma,1,1,1,1,1,1,0,239,7,16,9,7,0,9,11,11,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County and Facility level,Bungoma-Level4,1,1,1,1,1,1,0,239,7,16,9,7,0,9,11,11,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County,Busia,1,1,0,1,1,1,0,165,0,165,24,0,12.5,165,165,24,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County and Facility level,Busia-Level4,1,1,0,1,1,1,0,165,0,165,24,0,12.5,165,165,24,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County,EMBU,1,1,0,1,0,1,0,23,0,12,12,0,0,0,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
